,Date,Open,High,Low,Close,Adj Close,Volume,Direction,Range,Open Down
220,1965-11-09,1295.420044,1295.420044,1295.420044,1295.420044,1295.420044,0.0,Down,0.0,True
221,1965-11-10,1300.969971,1300.969971,1300.969971,1300.969971,1300.969971,0.0,Down,0.0,True
222,1965-11-11,1304.900024,1304.900024,1304.900024,1304.900024,1304.900024,0.0,Down,0.0,True
223,1965-11-12,1323.109985,1323.109985,1323.109985,1323.109985,1323.109985,0.0,Down,0.0,True
224,1965-11-15,1304.219971,1304.219971,1304.219971,1304.219971,1304.219971,0.0,Down,0.0,False
225,1965-11-16,1319.869995,1319.869995,1319.869995,1319.869995,1319.869995,0.0,Down,0.0,True
226,1965-11-17,1313.810059,1313.810059,1313.810059,1313.810059,1313.810059,0.0,Down,0.0,False
227,1965-11-18,1340.469971,1340.469971,1340.469971,1340.469971,1340.469971,0.0,Down,0.0,True
228,1965-11-19,1329.280029,1329.280029,1329.280029,1329.280029,1329.280029,0.0,Down,0.0,False
229,1965-11-22,1343.670044,1343.670044,1343.670044,1343.670044,1343.670044,0.0,Down,0.0,True
231,1965-11-24,1354.420044,1354.420044,1354.420044,1354.420044,1354.420044,0.0,Down,0.0,True
232,1965-11-25,1325.560059,1325.560059,1325.560059,1325.560059,1325.560059,0.0,Down,0.0,False
233,1965-11-26,1335.930054,1335.930054,1335.930054,1335.930054,1335.930054,0.0,Down,0.0,True
234,1965-11-29,1359.810059,1359.810059,1359.810059,1359.810059,1359.810059,0.0,Down,0.0,True
235,1965-11-30,1373.160034,1373.160034,1373.160034,1373.160034,1373.160034,0.0,Down,0.0,True
236,1965-12-01,1377.670044,1377.670044,1377.670044,1377.670044,1377.670044,0.0,Down,0.0,True
237,1965-12-02,1409.069946,1409.069946,1409.069946,1409.069946,1409.069946,0.0,Down,0.0,True
238,1965-12-03,1376.560059,1376.560059,1376.560059,1376.560059,1376.560059,0.0,Down,0.0,False
239,1965-12-06,1315.26001,1315.26001,1315.26001,1315.26001,1315.26001,0.0,Down,0.0,False
240,1965-12-07,1349.300049,1349.300049,1349.300049,1349.300049,1349.300049,0.0,Down,0.0,True
241,1965-12-08,1357.780029,1357.780029,1357.780029,1357.780029,1357.780029,0.0,Down,0.0,True
242,1965-12-09,1330.079956,1330.079956,1330.079956,1330.079956,1330.079956,0.0,Down,0.0,False
243,1965-12-10,1334.939941,1334.939941,1334.939941,1334.939941,1334.939941,0.0,Down,0.0,True
244,1965-12-13,1340.050049,1340.050049,1340.050049,1340.050049,1340.050049,0.0,Down,0.0,True
245,1965-12-14,1347.829956,1347.829956,1347.829956,1347.829956,1347.829956,0.0,Down,0.0,True
246,1965-12-15,1362.810059,1362.810059,1362.810059,1362.810059,1362.810059,0.0,Down,0.0,True
247,1965-12-16,1373.619995,1373.619995,1373.619995,1373.619995,1373.619995,0.0,Down,0.0,True
248,1965-12-17,1369.839966,1369.839966,1369.839966,1369.839966,1369.839966,0.0,Down,0.0,False
249,1965-12-20,1367.420044,1367.420044,1367.420044,1367.420044,1367.420044,0.0,Down,0.0,False
250,1965-12-21,1364.969971,1364.969971,1364.969971,1364.969971,1364.969971,0.0,Down,0.0,False
251,1965-12-22,1373.790039,1373.790039,1373.790039,1373.790039,1373.790039,0.0,Down,0.0,True
253,1965-12-24,1389.290039,1389.290039,1389.290039,1389.290039,1389.290039,0.0,Down,0.0,True
254,1965-12-27,1412.77002,1412.77002,1412.77002,1412.77002,1412.77002,0.0,Down,0.0,True
255,1965-12-28,1417.829956,1417.829956,1417.829956,1417.829956,1417.829956,0.0,Down,0.0,True
256,1965-12-29,1417.829956,1417.829956,1417.829956,1417.829956,1417.829956,0.0,Down,0.0,False
257,1965-12-30,1417.829956,1417.829956,1417.829956,1417.829956,1417.829956,0.0,Down,0.0,False
260,1966-01-04,1430.130005,1430.130005,1430.130005,1430.130005,1430.130005,0.0,Down,0.0,True
261,1966-01-05,1414.869995,1414.869995,1414.869995,1414.869995,1414.869995,0.0,Down,0.0,False
262,1966-01-06,1434.939941,1434.939941,1434.939941,1434.939941,1434.939941,0.0,Down,0.0,True
263,1966-01-07,1428.530029,1428.530029,1428.530029,1428.530029,1428.530029,0.0,Down,0.0,False
265,1966-01-11,1410.430054,1410.430054,1410.430054,1410.430054,1410.430054,0.0,Down,0.0,False
266,1966-01-12,1418.459961,1418.459961,1418.459961,1418.459961,1418.459961,0.0,Down,0.0,True
267,1966-01-13,1416.25,1416.25,1416.25,1416.25,1416.25,0.0,Down,0.0,False
268,1966-01-14,1416.119995,1416.119995,1416.119995,1416.119995,1416.119995,0.0,Down,0.0,False
269,1966-01-17,1421.099976,1421.099976,1421.099976,1421.099976,1421.099976,0.0,Down,0.0,True
270,1966-01-18,1414.01001,1414.01001,1414.01001,1414.01001,1414.01001,0.0,Down,0.0,False
271,1966-01-19,1414.550049,1414.550049,1414.550049,1414.550049,1414.550049,0.0,Down,0.0,True
272,1966-01-20,1421.560059,1421.560059,1421.560059,1421.560059,1421.560059,0.0,Down,0.0,True
273,1966-01-21,1435.339966,1435.339966,1435.339966,1435.339966,1435.339966,0.0,Down,0.0,True
274,1966-01-24,1451.680054,1451.680054,1451.680054,1451.680054,1451.680054,0.0,Down,0.0,True
275,1966-01-25,1445.339966,1445.339966,1445.339966,1445.339966,1445.339966,0.0,Down,0.0,False
276,1966-01-26,1457.189941,1457.189941,1457.189941,1457.189941,1457.189941,0.0,Down,0.0,True
277,1966-01-27,1454.76001,1454.76001,1454.76001,1454.76001,1454.76001,0.0,Down,0.0,False
278,1966-01-28,1465.829956,1465.829956,1465.829956,1465.829956,1465.829956,0.0,Down,0.0,True
279,1966-01-31,1470.380005,1470.380005,1470.380005,1470.380005,1470.380005,0.0,Down,0.0,True
280,1966-02-01,1485.23999,1485.23999,1485.23999,1485.23999,1485.23999,0.0,Down,0.0,True
281,1966-02-02,1492.420044,1492.420044,1492.420044,1492.420044,1492.420044,0.0,Down,0.0,True
282,1966-02-03,1482.699951,1482.699951,1482.699951,1482.699951,1482.699951,0.0,Down,0.0,False
283,1966-02-04,1487.089966,1487.089966,1487.089966,1487.089966,1487.089966,0.0,Down,0.0,True
284,1966-02-07,1498.890015,1498.890015,1498.890015,1498.890015,1498.890015,0.0,Down,0.0,True
